tech,categ,sector,fuel,eff,max_gradient,time_series,lifetime,financial_lifetime,discount_rate
pv,generation,el,none,0,Inf,solar,25,25,0.07
wind,generation,el,none,0,Inf,wind,25,25,0.07
coal,generation,el,coal,0,0.6,none,40,40,0.07
oil,generation,el,oil,0,3,none,30,30,0.07
gas,generation,el,gas,0,4.8,none,30,30,0.07
bat_e,storage_e,el,none,0.93,Inf,none,10,10,0.07
bat_in,storage_in,el,none,0.94,Inf,none,10,10,0.07
bat_out,storage_out,el,none,0.94,Inf,none,10,10,0.07
h2_e,storage_e,el,none,0.99,Inf,none,40,20,0.05
h2_in,storage_in,el,none,0.83,Inf,none,15,20,0.05
h2_out,storage_out,el,none,0.53,Inf,none,40,20,0.05
trans,transmission,el,none,0.9995,Inf,none,40,40,0.07
