lines,node_start,node_end,reactance,resistance,power,voltage,circuits,length
line01,CCT,CVA,0,0,"18,328",AC_OHL,0,1
line02,CCT,FRE,0,0,"9,494",AC_OHL,0,1
line03,CCT,NCT,0,0,564,AC_OHL,0,1
line04,CVA,FRE,0,0,"1,744",AC_OHL,0,1
line05,CVA,NCT,0,0,"4,658",AC_OHL,0,1
line06,CVA,NVA,0,0,"10,072",AC_OHL,0,1
line07,CVA,SW,0,0,"1,183",AC_OHL,0,1
line08,ECA,LAX,0,0,746,AC_OHL,0,1
line09,ELU,LAX,0,0,"15,299",AC_OHL,0,1
line10,ELU,NE,0,0,0,DC_OHL,0,1
line11,ELU,SDG,0,0,"2,175",AC_OHL,0,1
line12,ELU,SW,0,0,"8,222",AC_OHL,0,1
line13,ELU,SW,0,0,"1,920",DC_OHL,0,1
line14,FRE,LAX,0,0,"11,394",AC_OHL,0,1
line15,LAX,NW,0,0,"3,100",DC_OHL,0,1
line16,MX,SDG,0,0,"1,128",AC_OHL,0,1
line17,NE,NW,0,0,0,AC_OHL,0,1
line18,NE,SW,0,0,0,AC_OHL,0,1
line19,NVA,NW,0,0,"5,255",AC_OHL,0,1
line20,NVA,PAC,0,0,"3,537",AC_OHL,0,1
line21,NW,PAC,0,0,240,AC_OHL,0,1
line22,NW,SW,0,0,0,AC_OHL,0,1
line23,SDG,SW,0,0,210,AC_OHL,0,1
line24,CVA,CCT,0,0,"18,328",AC_OHL,0,1
line25,FRE,CCT,0,0,"9,494",AC_OHL,0,1
line26,NCT,CCT,0,0,564,AC_OHL,0,1
line27,FRE,CVA,0,0,"1,744",AC_OHL,0,1
line28,NCT,CVA,0,0,"4,658",AC_OHL,0,1
line29,NVA,CVA,0,0,"10,072",AC_OHL,0,1
line30,SW,CVA,0,0,"1,183",AC_OHL,0,1
line31,LAX,ECA,0,0,746,AC_OHL,0,1
line32,LAX,ELU,0,0,"15,299",AC_OHL,0,1
line33,NE,ELU,0,0,0,DC_OHL,0,1
line34,SDG,ELU,0,0,"2,175",AC_OHL,0,1
line35,SW,ELU,0,0,"8,222",AC_OHL,0,1
line36,SW,ELU,0,0,"1,920",DC_OHL,0,1
line37,LAX,FRE,0,0,"11,394",AC_OHL,0,1
line38,NW,LAX,0,0,"3,100",DC_OHL,0,1
line39,SDG,MX,0,0,"1,128",AC_OHL,0,1
line40,NW,NE,0,0,0,AC_OHL,0,1
line41,SW,NE,0,0,0,AC_OHL,0,1
line42,NW,NVA,0,0,"5,255",AC_OHL,0,1
line43,PAC,NVA,0,0,"3,537",AC_OHL,0,1
line44,PAC,NW,0,0,240,AC_OHL,0,1
line45,SW,NW,0,0,0,AC_OHL,0,1
line46,SW,SDG,0,0,210,AC_OHL,0,1
