nodes,region,infrastruct,pv,wind,coal,oil,nuc,gas,biogas,biomass,ror_large,ror_small,geo,bat_e,bat_in,bat_out,php_e,php_in,php_out,h2_e,h2_in,h2_out,trans
CCT,CA,ex,37,240,0,371,0,9364,12,11,0,0,0,6,0,0,0,1,1,0,0,0,0
CVA,CA,ex,206,1055,0,89,0,4962,28,131,2902,170.04,0,2,28,28,0,0,0,0,0,0,0
ECA,CA,ex,5,0,0,0,0,0,0,0,112,21.3,107,0,4,4,0,0,0,0,0,0,0
ELU,CA,ex,3052,703,63,2,0,6517,0,42,395,39.24,0,32,7,7,0,3,3,0,0,0,0
FRE,CA,ex,1134,17,0,3,0,1296,0,41,1391,67.38,0,0,11,11,1702,0,0,0,0,0,0
LAX,CA,ex,4227,3308,38,43,2323,18679,145,114,130,109.83,0,39,18,18,1631,4,4,0,0,0,0
MX,MX,ex,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCT,CA,ex,5,0,0,0,0,3,9,2,0,6.3,562,0,1,1,0,0,0,0,0,0,0
NE,NE,ex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVA,CA,ex,16,102,0,0,0,406,2,150,3141,114.87,0,0,19,19,376,0,0,0,0,0,0
NW,NW,ex,0,0,600,0,0,7900,0,0,3500,0,7,0,0,0,0,0,0,0,0,0,0
PAC,CA,ex,0,0,0,0,0,6,0,35,0,30.6,1,0,5,5,0,0,0,0,0,0,0
SDG,CA,ex,1175,316,0,31,0,4088,0,26,0,30.93,236,36,5,5,42,4,4,0,0,0,0
SW,SW,ex,1605,304,2170,0,852,536,0,5,2080,0,65,0,0,0,0,0,0,0,0,0,0
CCT,CA,lim,370,2400,0,371,0,9364,12,11,0,0,0,6,0,0,0,1,1,0,0,0,0
CVA,CA,lim,2060,10550,0,89,0,4962,28,131,2902,170.04,0,2,28,28,0,0,0,0,0,0,0
ECA,CA,lim,50,0,0,0,0,0,0,0,112,21.3,107,0,4,4,0,0,0,0,0,0,0
ELU,CA,lim,30520,7030,63,2,0,6517,0,42,395,39.24,0,32,7,7,0,3,3,0,0,0,0
FRE,CA,lim,11340,170,0,3,0,1296,0,41,1391,67.38,0,0,11,11,1702,0,0,0,0,0,0
LAX,CA,lim,42270,33080,38,43,2323,18679,145,114,130,109.83,0,39,18,18,1631,4,4,0,0,0,0
MX,MX,lim,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCT,CA,lim,50,0,0,0,0,3,9,2,0,6.3,562,0,1,1,0,0,0,0,0,0,0
NE,NE,lim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVA,CA,lim,160,1020,0,0,0,406,2,150,3141,114.87,0,0,19,19,376,0,0,0,0,0,0
NW,NW,lim,0,0,600,0,0,7900,0,0,3500,0,7,0,0,0,0,0,0,0,0,0,0
PAC,CA,lim,0,0,0,0,0,6,0,35,0,30.6,1,0,5,5,0,0,0,0,0,0,0
SDG,CA,lim,11750,3160,0,31,0,4088,0,26,0,30.93,236,36,5,5,42,4,4,0,0,0,0
SW,SW,lim,16050,3040,2170,0,852,536,0,5,2080,0,65,0,0,0,0,0,0,0,0,0,0
