line,node_start,node_end,reactance,resistance,power,voltage,circuits,length
line01,dena82,dena21,20.2299517565562,3.79273739773027,490,220,1,50.5506930693069
line02,dena73,dena72,17.3587322505912,3.31193949260616,933.318965517242,255.764705882353,1.25,43.415610217597
line03,dena97,dena71,2.856,0.251,1700,380,2,8.7
line04,dena74,dena72,10.4766408334095,1.92088495919161,1257.53731343284,294.146341463415,1.4,27.2795575896262
line05,dena72,dena74,22.3686858038644,2.15240057411274,1429.26940639269,321.333333333333,1.4,68.261426418885
line06,dena24,dena74,17.965,1.579,1700,380,1,54.4
line07,dena74,dena97,15.7920561863935,1.38806031273269,1700,380,1,47.860475161987
line08,dena41,dena75,35.4306888374502,4.64986542169338,1138.89589905363,278.461538461538,1,103.660250297974
line09,dena96,dena75,13.0076221692491,1.99683380123526,1429.26940639269,321.333333333333,1.66666666666667,36.4444444444444
line10,dena91,dena75,16.7544437429819,3.14123905230933,490,220,1.5,41.8972055888224
line11,dena42,dena75,47.414017276818,8.89002761317848,490,220,1,118.508888888889
line12,dena41,dena42,43.7390205945984,3.68160904482917,1547.58354755784,344.081632653061,1.66666666666667,134.067858681603
line13,dena93,dena42,7.55185431645997,0.66374574409665,1700,380,1.5,22.8955414012739
line14,dena75,dena41,9.70311209285303,1.81926268823201,490,220,1,24.2518828451883
line15,dena72,dena71,29.4138848989525,3.76199758648431,1547.58354755784,344.081632653061,1,86.0601331668748
line16,dena73,dena71,29.1197644222776,2.97318205188128,1547.58354755784,344.081632653061,1,88.0516666666667
line17,dena24,dena73,15.2797393918452,1.34251867872591,1700,380,1.66666666666667,46.2929304446978
line18,dena73,dena24,28.509,2.505,1700,380,1,86.4
line19,dena73,dena23,13.4779603699143,2.11807751677852,1257.53731343284,294.146341463415,1.5,37.3943255813953
line20,dena23,dena24,13.9687422793905,1.30713541666667,1547.58354755784,344.081632653061,1.5,42.6038499506417
line21,dena42,dena93,20.8277394479375,1.87360021321962,1547.58354755784,344.081632653061,1.66666666666667,63.8368876080692
line22,dena96,dena93,15.084,1.326,1700,380,2,45.7
line23,dena75,dena74,33.6966360458801,4.86181115972794,1547.58354755784,344.081632653061,1.28571428571429,96.1126990144049
line24,dena42,dena41,33.8436117742113,6.57720634595701,1257.53731343284,294.146341463415,1.8,83.5717689530686
line25,dena76,dena92,30.1417755347996,5.08480209190269,1429.26940639269,321.333333333333,1,81.8500305436775
line26,dena42,dena76,13.7393222420755,2.49499696452286,1429.26940639269,321.333333333333,1.28571428571429,36.1853139595226
line27,dena92,dena42,52.0050907184168,9.248226422379,1429.26940639269,321.333333333333,1,138.070241286863
line28,dena24,dena75,7.3378248734437,0.645052918287938,1700,380,1,22.2322799097065
line29,dena25,dena24,32.5092389564063,2.85664031154118,1700,380,1,98.5383299110199
line30,dena25,dena41,32.0804781005936,2.81919409882688,1700,380,1,97.2181443298969
line31,dena25,dena26,37.2176533518822,6.47124037773644,1429.26940639269,321.333333333333,1.66666666666667,99.8633610900832
line32,dena26,dena92,23.0655964307862,4.32480567396737,490,220,1,57.6932745314223
line33,dena84,dena81,47.2643645649944,4.47708686501483,1618.66941015089,359.770114942529,1,143.343801254221
line34,dena84,dena83,49.1456082842536,8.45201221327039,1429.26940639269,321.333333333333,1,132.331810072732
line35,dena83,dena24,35.5878130705928,3.12728315346625,1700,380,1,107.810344827586
line36,dena83,dena84,32.2624866760755,3.94849233820083,1547.58354755784,344.081632653061,1.5,95.1003628447025
line37,dena21,dena82,21.4227762518762,3.85473413464978,1138.89589905363,278.461538461538,1.66666666666667,55.8604514672686
line38,dena96,dena42,9.753,0.857,1700,380,2,29.6
line39,dena84,dena98,5.345,0.47,1700,380,2,16.2
line40,dena21,dena95,29.2192493946731,2.63848057097542,1429.26940639269,321.333333333333,2,89.8520060560182
line41,dena23,dena71,26.162,2.299,1700,380,1,79.3
line42,dena22,dena71,34.834,3.061,1700,380,1,105.6
line43,dena94,dena25,21.648,1.902,1700,380,2,65.6
line44,dena25,dena83,18.58,1.633,1700,380,2,56.3
line45,dena71,dena22,15.5556512166115,1.36701170446233,1700,380,1,47.1504772004242
line46,dena22,dena23,28.6643878393724,2.83507098491571,1429.26940639269,321.333333333333,1.66666666666667,87.3758967001435
line47,dena23,dena22,43.296,3.805,1700,380,1,131.2
line48,dena22,dena97,8.847,0.777,1700,380,2,26.8
line49,dena75,dena42,36.898,3.243,1700,380,2,111.8
line50,dena72,dena73,16.1678661387106,2.95584211784391,1429.26940639269,321.333333333333,1.66666666666667,42.5234615384615
line51,dena23,dena82,9.415,0.827,1700,380,2,28.5
line52,dena82,dena22,9.483,0.833,1700,380,2,28.7
line53,dena76,dena26,16.563,1.456,1700,380,2,50.2
line54,dena23,dena81,16.154,1.42,1700,380,2,49
line55,dena82,dena81,28.829,2.533,1700,380,2,87.4
line56,dena83,dena81,39.32,3.455,1700,380,2,119.2
line57,dena21,dena22,18.91,1.662,1700,380,2,57.3
line58,dena84,dena94,18.848,1.656,1700,380,2,57.1
line59,dena24,dena25,11.822,2.217,490,220,2,29.6
line60,dena81,dena98,10.14,1.901,490,220,2,25.4
line61,dena92,dena26,12.608,2.364,490,220,2,31.5
line62,dena23,dena73,20.3761597244645,3.82079107475965,490,220,1,50.9452099031216
line63,dena71,dena73,23.686,4.441,490,220,1,59.2
line64,dena74,dena73,20.765,3.893,490,220,2,51.9
line65,dena22,dena82,9.602,1.8,490,220,2,24
line66,dena26,dena25,29.578,5.546,490,220,2,73.9
line67,dena74,dena24,12.519,1.1,1700,380,1,37.9
